id,name,cnic,seat_number,bus_number,booking_date,status
100,Nicolas Flores,33333-6266821-3,1,BUS-100,2026-05-22 22:38:28.250000,confirmed
129,Mary Sampson,22222-3848625-2,10,BUS-100,2026-05-22 22:38:28.350000,confirmed
54,Kristy Patel,11111-2449761-1,11,BUS-100,2026-05-22 22:38:28.067000,confirmed
218,Andrew Stone,11111-9061685-1,12,BUS-100,2026-05-22 22:38:28.630000,confirmed
174,Barry Cohen,55555-9741172-5,15,BUS-100,2026-05-22 22:38:28.503000,confirmed
91,Sandra Dawson,77777-3434388-7,19,BUS-100,2026-05-22 22:38:28.210000,confirmed
74,Greg Hartman,22222-1309463-2,20,BUS-100,2026-05-22 22:38:28.147000,confirmed
24,Christopher Farrell,11111-0537878-1,22,BUS-100,2026-05-22 22:38:27.937000,confirmed
163,Shannon Murray,33333-9712505-3,23,BUS-100,2026-05-22 22:38:28.473000,confirmed
211,Kenneth Stephens,33333-1055280-3,25,BUS-100,2026-05-22 22:38:28.610000,confirmed
59,Nicholas Banks,11111-0437875-1,28,BUS-100,2026-05-22 22:38:28.077000,confirmed
207,Dawn Davis,88888-0299649-8,30,BUS-100,2026-05-22 22:38:28.593000,confirmed
80,David Freeman,88888-6936644-8,31,BUS-100,2026-05-22 22:38:28.167000,confirmed
165,Molly Joseph,33333-7598414-3,32,BUS-100,2026-05-22 22:38:28.477000,confirmed
118,Scott Rice,99999-1566834-9,34,BUS-100,2026-05-22 22:38:28.313000,confirmed
215,Erin Hernandez DVM,22222-1182406-2,35,BUS-100,2026-05-22 22:38:28.623000,confirmed
139,Christian Castillo,33333-5611935-3,40,BUS-100,2026-05-22 22:38:28.390000,confirmed
53,Melissa Hahn,66666-3358540-6,1,BUS-101,2026-05-22 22:38:28.060000,confirmed
105,Albert Stokes,88888-6102534-8,3,BUS-101,2026-05-22 22:38:28.260000,confirmed
185,Brooke Morgan,99999-7605549-9,4,BUS-101,2026-05-22 22:38:28.533000,confirmed
34,Rachel Cruz,66666-7779227-6,5,BUS-101,2026-05-22 22:38:27.980000,confirmed
208,Tiffany Shaw,77777-1047242-7,6,BUS-101,2026-05-22 22:38:28.597000,confirmed
152,David Burns,22222-8743712-2,7,BUS-101,2026-05-22 22:38:28.437000,confirmed
96,Mark Zavala,44444-4884852-4,9,BUS-101,2026-05-22 22:38:28.237000,confirmed
4,Michelle Rojas,66666-3640332-6,10,BUS-101,2026-05-22 22:38:27.837000,confirmed
2,Mary Allison,77777-2556577-7,12,BUS-101,2026-05-22 22:38:27.830000,confirmed
41,Mark Hardin,77777-7204789-7,14,BUS-101,2026-05-22 22:38:28.003000,confirmed
104,Albert Stokes,88888-6102534-8,15,BUS-101,2026-05-22 22:38:28.260000,confirmed
102,Tracy Johnson,22222-5911748-2,20,BUS-101,2026-05-22 22:38:28.257000,confirmed
145,Samuel Evans,88888-6535587-8,23,BUS-101,2026-05-22 22:38:28.413000,confirmed
126,Desiree Bird,66666-9510363-6,25,BUS-101,2026-05-22 22:38:28.347000,confirmed
7,Craig Villarreal,99999-4100830-9,27,BUS-101,2026-05-22 22:38:27.850000,confirmed
144,Jasmine Oliver MD,22222-9414514-2,29,BUS-101,2026-05-22 22:38:28.410000,confirmed
159,Kristine Vance,44444-3509212-4,30,BUS-101,2026-05-22 22:38:28.457000,confirmed
21,Sonya Bond,88888-3299959-8,32,BUS-101,2026-05-22 22:38:27.913000,confirmed
120,James Ortega,11111-1361795-1,33,BUS-101,2026-05-22 22:38:28.330000,confirmed
190,Mr. Jimmy Lee,66666-2083347-6,35,BUS-101,2026-05-22 22:38:28.550000,confirmed
197,Catherine Black,33333-2783699-3,36,BUS-101,2026-05-22 22:38:28.563000,confirmed
8,Craig Villarreal,99999-4100830-9,38,BUS-101,2026-05-22 22:38:27.853000,confirmed
15,Drew Rodriguez,44444-2276781-4,39,BUS-101,2026-05-22 22:38:27.887000,confirmed
68,Kristen Tyler,44444-6781671-4,40,BUS-101,2026-05-22 22:38:28.120000,confirmed
180,Diane Lopez MD,77777-2701364-7,7,BUS-102,2026-05-22 22:38:28.513000,confirmed
107,Melinda Montgomery,55555-0082020-5,8,BUS-102,2026-05-22 22:38:28.273000,confirmed
156,Angelica Patel,33333-9824194-3,9,BUS-102,2026-05-22 22:38:28.443000,confirmed
16,John Hernandez,55555-3500750-5,10,BUS-102,2026-05-22 22:38:27.890000,confirmed
220,Michael Harris,44444-2893282-4,11,BUS-102,2026-05-22 22:38:28.640000,confirmed
115,Carol Mason,44444-7304112-4,13,BUS-102,2026-05-22 22:38:28.303000,confirmed
18,Karen Webster,55555-8421708-5,14,BUS-102,2026-05-22 22:38:27.900000,confirmed
171,Ralph Taylor,77777-1418481-7,18,BUS-102,2026-05-22 22:38:28.493000,confirmed
172,Ralph Taylor,77777-1418481-7,21,BUS-102,2026-05-22 22:38:28.497000,confirmed
65,Amanda Rasmussen,99999-8797906-9,22,BUS-102,2026-05-22 22:38:28.100000,confirmed
119,Dr. Steven Castillo PhD,11111-0649293-1,24,BUS-102,2026-05-22 22:38:28.320000,confirmed
14,Mr. Kenneth Smith PhD,44444-1886094-4,25,BUS-102,2026-05-22 22:38:27.880000,confirmed
198,Bruce Lawrence,33333-1580680-3,28,BUS-102,2026-05-22 22:38:28.567000,confirmed
181,Michelle Thomas,66666-5183608-6,32,BUS-102,2026-05-22 22:38:28.520000,confirmed
